
   OTHER: biaix	PAR: as__n	FORMS: NCMP000 biaixos NCMS000 biaix

APERTIUM: bielorús	PAR: andal/ús__n	FORMS: NCFP000 bieloruses NCFS000 bielorusa NCMP000 bielorusos NCMS000 bielorús
   OTHER: bielorús	PAR: ban/ús__n	FORMS: NCMP000 bielorussos NCMS000 bielorús

APERTIUM: bioquímic	PAR: bas/c__n	FORMS: NCFP000 bioquímiques NCFS000 bioquímica NCMP000 bioquímicos NCMP000 bioquímics NCMS000 bioquímic
   OTHER: bioquímic	PAR: asiàti/c__n	FORMS: NCFP000 bioquímiques NCFS000 bioquímica NCMP000 bioquímics NCMS000 bioquímic

APERTIUM: birmà	PAR: americ/à__n	FORMS: NCFP000 birmanes NCFS000 birmana NCMP000 birmans NCMS000 birmà
   OTHER: birmà	PAR: bacall/à__n	FORMS: NCMP000 birmans NCMS000 birmà

APERTIUM: biscaí	PAR: alacant/í__n	FORMS: NCFP000 biscaines NCFS000 biscaina NCMP000 biscains NCMS000 biscaí
   OTHER: biscaí	PAR: BBVA__n	FORMS: NCMS000 biscaí
   OTHER: biscaí	PAR: atletisme__n	FORMS: NCMS000 biscaí

APERTIUM: bizantí	PAR: alacant/í__n	FORMS: NCFP000 bizantines NCFS000 bizantina NCMP000 bizantins NCMS000 bizantí
   OTHER: bizantí	PAR: boc/í__n	FORMS: NCMP000 bizantins NCMS000 bizantí

APERTIUM: blast	PAR: abric__n	FORMS: NCMP000 blasts NCMS000 blast
   OTHER: blast	PAR: abast__n	FORMS: NCMP000 blastos NCMP000 blasts NCMS000 blast

APERTIUM: bleda	PAR: abell/a__n	FORMS: NCFP000 bledes NCFS000 bleda
   OTHER: bleda	PAR: accionist/a__n	FORMS: NCCP000 bledes NCCS000 bleda

APERTIUM: boig	PAR: bo/ig__n	FORMS: NCFP000 boges NCFS000 boja NCMP000 boigs NCMP000 bojos NCMS000 boig
   OTHER: boig	PAR: assa/ig__n	FORMS: NCMP000 boigs NCMP000 bojos NCMS000 boig
