
APERTIUM: vint-i-vuitè	PAR: /vuitè__adj	FORMS: AQ0FP0 vint-i-huitenes AQ0FP0 vint-i-vuitenes AQ0FS0 vint-i-huitena AQ0FS0 vint-i-vuitena AQ0MP0 vint-i-huitens AQ0MP0 vint-i-vuitens AQ0MS0 vint-i-huitè AQ0MS0 vint-i-huité AQ0MS0 vint-i-vuitè
   OTHER: vint-i-vuitè	PAR: ali/è__adj	FORMS: AQ0FP0 vint-i-vuitenes AQ0FS0 vint-i-vuitena AQ0MP0 vint-i-vuitens AQ0MS0 vint-i-vuitè AQ0MS0 vint-i-vuité
   OTHER: vint-i-vuitè	PAR: cinqu/è__adj	FORMS: AQ0FP0 vint-i-vuitenes AQ0FS0 vint-i-vuitena AQ0MP0 vint-i-vuitens AQ0MS0 vint-i-vuitè AQ0MS0 vint-i-vuité

APERTIUM: violeta	PAR: agrícol/a__adj	FORMS: AQ0CP0 violetes AQ0CS0 violeta
   OTHER: violeta	PAR: multimèdia__adj	FORMS: AQ0CN0 violeta

APERTIUM: vuitanta-vuitè	PAR: /vuitè__adj	FORMS: AQ0FP0 vuitanta-huitenes AQ0FP0 vuitanta-vuitenes AQ0FS0 vuitanta-huitena AQ0FS0 vuitanta-vuitena AQ0MP0 vuitanta-huitens AQ0MP0 vuitanta-vuitens AQ0MS0 vuitanta-huitè AQ0MS0 vuitanta-huité AQ0MS0 vuitanta-vuitè
   OTHER: vuitanta-vuitè	PAR: ali/è__adj	FORMS: AQ0FP0 vuitanta-vuitenes AQ0FS0 vuitanta-vuitena AQ0MP0 vuitanta-vuitens AQ0MS0 vuitanta-vuitè AQ0MS0 vuitanta-vuité
   OTHER: vuitanta-vuitè	PAR: cinqu/è__adj	FORMS: AQ0FP0 vuitanta-vuitenes AQ0FS0 vuitanta-vuitena AQ0MP0 vuitanta-vuitens AQ0MS0 vuitanta-vuitè AQ0MS0 vuitanta-vuité

APERTIUM: vuitè	PAR: /vuitè__adj	FORMS: AQ0FP0 huitenes AQ0FP0 vuitenes AQ0FS0 huitena AQ0FS0 vuitena AQ0MP0 huitens AQ0MP0 vuitens AQ0MS0 huitè AQ0MS0 huité AQ0MS0 vuitè
   OTHER: vuitè	PAR: ali/è__adj	FORMS: AQ0FP0 vuitenes AQ0FS0 vuitena AQ0MP0 vuitens AQ0MS0 vuitè AQ0MS0 vuité
   OTHER: vuitè	PAR: cinqu/è__adj	FORMS: AQ0FP0 vuitenes AQ0FS0 vuitena AQ0MP0 vuitens AQ0MS0 vuitè AQ0MS0 vuité

APERTIUM: accelerador	PAR: absolut__adj	FORMS: AQ0FP0 acceleradores AQ0FS0 acceleradora AQ0MP0 acceleradors AQ0MS0 accelerador
   OTHER: accelerador	PAR: ??????????????	FORMS: AQ0FP0 acceleradores AQ0FP0 acceleratrius AQ0FS0 acceleradora AQ0FS0 acceleratriu AQ0MP0 acceleradors AQ0MS0 accelerador

APERTIUM: agradable	PAR: abdominal__adj	FORMS: AQ0CP0 agradables AQ0CS0 agradable
   OTHER: agradable	PAR: ??????????????	FORMS: AQ0CP0 agradables AQ0CS0 agradable AQ0FP0 agradabilíssimes AQ0FS0 agradabilíssima AQ0MP0 agradabilíssims AQ0MS0 agradabilíssim

APERTIUM: alisi	PAR: al/isi__adj	FORMS: AQ0FP0 alísies AQ0FS0 alísia AQ0MP0 alisis AQ0MS0 alisi
   OTHER: alisi	PAR: ??????????????	FORMS: AQ0MP0 alisis AQ0MS0 alisi

APERTIUM: amable	PAR: abdominal__adj	FORMS: AQ0CP0 amables AQ0CS0 amable
   OTHER: amable	PAR: ??????????????	FORMS: AQ0CP0 amables AQ0CS0 amable AQ0FP0 amabilíssimes AQ0FS0 amabilíssima AQ0MP0 amabilíssims AQ0MS0 amabilíssim

APERTIUM: amarg	PAR: amarg__adj	FORMS: AQ0FP0 amargues AQ0FS0 amarga AQ0MP0 amargs AQ0MS0 amarg
   OTHER: amarg	PAR: ??????????????	FORMS: AQ0FP0 amargues AQ0FP0 amarguíssimes AQ0FS0 amarga AQ0FS0 amarguíssima AQ0MP0 amargs AQ0MP0 amarguíssims AQ0MS0 amarg AQ0MS0 amarguíssim

APERTIUM: amè	PAR: ali/è__adj	FORMS: AQ0FP0 amenes AQ0FS0 amena AQ0MP0 amens AQ0MS0 amè AQ0MS0 amé
   OTHER: amè	PAR: ??????????????	FORMS: AQ0FP0 amenes AQ0FP0 ameníssimes AQ0FS0 amena AQ0FS0 ameníssima AQ0MP0 amens AQ0MP0 ameníssims AQ0MS0 ameníssim AQ0MS0 amè AQ0MS0 amé

APERTIUM: apreciable	PAR: abdominal__adj	FORMS: AQ0CP0 apreciables AQ0CS0 apreciable
   OTHER: apreciable	PAR: ??????????????	FORMS: AQ0CP0 apreciables AQ0CS0 apreciable AQ0FP0 apreciabilíssimes AQ0FS0 apreciabilíssima AQ0MP0 apreciabilíssims AQ0MS0 apreciabilíssim

APERTIUM: bo	PAR: bo__adj	FORMS: AQ0FP0 bones AQ0FP0 boníssimes AQ0FS0 bona AQ0FS0 boníssima AQ0MP0 bons AQ0MP0 boníssims AQ0MS0 bo AQ0MS0 boníssim
   OTHER: bo	PAR: ??????????????	FORMS: AQ0FP0 bones AQ0FP0 boníssimes AQ0FS0 bona AQ0FS0 boníssima AQ0MP0 bons AQ0MP0 boníssims AQ0MS0 bo AQ0MS0 bon AQ0MS0 boníssim

APERTIUM: català	PAR: afric/à__adj	FORMS: AQ0FP0 catalanes AQ0FS0 catalana AQ0MP0 catalans AQ0MS0 català
   OTHER: català	PAR: ??????????????	FORMS: AQ0FP0 catalanes AQ0FP0 catalaníssimes AQ0FS0 catalana AQ0FS0 catalaníssima AQ0MP0 catalans AQ0MP0 catalaníssims AQ0MS0 catalaníssim AQ0MS0 català

APERTIUM: catòlic	PAR: acadèmi/c__adj	FORMS: AQ0FP0 catòliques AQ0FS0 catòlica AQ0MP0 catòlics AQ0MS0 catòlic
   OTHER: catòlic	PAR: ??????????????	FORMS: AQ0FP0 catoliquíssimes AQ0FP0 catòliques AQ0FS0 catoliquíssima AQ0FS0 catòlica AQ0MP0 catoliquíssims AQ0MP0 catòlics AQ0MS0 catoliquíssim AQ0MS0 catòlic

APERTIUM: circumflex	PAR: annex__adj	FORMS: AQ0FP0 circumflexes AQ0FS0 circumflexa AQ0MP0 circumflexos AQ0MS0 circumflex
   OTHER: circumflex	PAR: ??????????????	FORMS: AQ0MP0 circumflexos AQ0MS0 circumflex

APERTIUM: considerable	PAR: abdominal__adj	FORMS: AQ0CP0 considerables AQ0CS0 considerable
   OTHER: considerable	PAR: ??????????????	FORMS: AQ0CP0 considerables AQ0CS0 considerable AQ0FP0 considerabilíssimes AQ0FS0 considerabilíssima AQ0MP0 considerabilíssims AQ0MS0 considerabilíssim

APERTIUM: cristià	PAR: afric/à__adj	FORMS: AQ0FP0 cristianes AQ0FS0 cristiana AQ0MP0 cristians AQ0MS0 cristià
   OTHER: cristià	PAR: ??????????????	FORMS: AQ0FP0 cristianes AQ0FP0 cristianíssimes AQ0FS0 cristiana AQ0FS0 cristianíssima AQ0MP0 cristians AQ0MP0 cristianíssims AQ0MS0 cristianíssim AQ0MS0 cristià

APERTIUM: còmode	PAR: c/òmode__adj	FORMS: AQ0FP0 comodíssimes AQ0FP0 còmodes AQ0FS0 comodíssima AQ0FS0 còmoda AQ0MP0 comodíssims AQ0MP0 còmodes AQ0MS0 comodíssim AQ0MS0 còmode
   OTHER: còmode	PAR: ??????????????	FORMS: AQ0CP0 còmodes AQ0FP0 comodíssimes AQ0FS0 comodíssima AQ0FS0 còmoda AQ0MP0 comodíssims AQ0MS0 comodíssim AQ0MS0 còmode

APERTIUM: desagradable	PAR: abdominal__adj	FORMS: AQ0CP0 desagradables AQ0CS0 desagradable
