directe directa [sup. directíssim]=categories:A; font:apertium;
discret discreta [sup. discretíssim]=categories:A; font:apertium;
discriminat discriminada [sup. discriminadíssim]=categories:A; font:apertium;
discutit discutida [sup. discutidíssim]=categories:A; font:apertium;
dispers dispersa [sup. dispersíssim]=categories:A; font:apertium;
disputat disputada [sup. disputadíssim]=categories:A; font:apertium;
dissortat dissortada [sup. dissortadíssim]=categories:A; font:apertium;
distingit distingida [sup. distingidíssim]=categories:A; font:apertium;
divertit divertida [sup. divertidíssim]=categories:A; font:apertium;
docte docta [sup. doctíssim]=categories:A; font:apertium;
documentat documentada [sup. documentadíssim]=categories:A; font:apertium;
dolç dolça [sup. dolcíssim]=categories:A; font:apertium;
dolent dolenta [sup. dolentíssim]=categories:A; font:apertium;
dolorós dolorosa [sup. dolorosíssim]=categories:A; font:apertium;
dolós dolosa [sup. dolosíssim]=categories:A; font:apertium;
dret dreta [sup. dretíssim]=categories:A; font:apertium;
dubtós dubtosa [sup. dubtosíssim]=categories:A; font:apertium;
dur dura [sup. duríssim]=categories:A; font:apertium;
educat educada [sup. educadíssim]=categories:A; font:apertium;
efeminat efeminada [sup. efeminadíssim]=categories:A; font:apertium;
eixelebrat eixelebrada [sup. eixelebradíssim]=categories:A; font:apertium;
eixerit eixerida [sup. eixeridíssim]=categories:A; font:apertium;
elegant [sup. elegantíssim]=categories:A; font:apertium;
elevat elevada [sup. elevadíssim]=categories:A; font:apertium;
emèrit emèrita [sup. emèritíssim]=categories:A; font:apertium;
emocionant [sup. emocionantíssim]=categories:A; font:apertium;
empedreït empedreïda [sup. empedreïdíssim]=categories:A; font:apertium;
enamorat enamorada [sup. enamoradíssim]=categories:A; font:apertium;
encarit encarida [sup. encaridíssim]=categories:A; font:apertium;
encertat encertada [sup. encertadíssim]=categories:A; font:apertium;
encuriosit encuriosida [sup. encuriosidíssim]=categories:A; font:apertium;
endimoniat endimoniada [sup. endimoniadíssim]=categories:A; font:apertium;
enemic enemiga [sup. enemiguíssim]=categories:A; font:apertium;
enganyós enganyosa [sup. enganyosíssim]=categories:A; font:apertium;
enganxós enganxosa [sup. enganxosíssim]=categories:A; font:apertium;
enginyós enginyosa [sup. enginyosíssim]=categories:A; font:apertium;
ennuvolat ennuvolada [sup. ennuvoladíssim]=categories:A; font:apertium;
enrevessat enrevessada [sup. enrevessadíssim]=categories:A; font:apertium;
ensangonat ensangonada [sup. ensangonadíssim]=categories:A; font:apertium;
ensucrat ensucrada [sup. ensucradíssim]=categories:A; font:apertium;
entenimentat entenimentada [sup. entenimentadíssim]=categories:A; font:apertium;
entestat entestada [sup. entestadíssim]=categories:A; font:apertium;
entremaliat entremaliada [sup. entremaliadíssim]=categories:A; font:apertium;
enutjós enutjosa [sup. enutjosíssim]=categories:A; font:apertium;
equilibrat equilibrada [sup. equilibradíssim]=categories:A; font:apertium;
esbiaixat esbiaixada [sup. esbiaixadíssim]=categories:A; font:apertium;
escabellat escabellada [sup. escabelladíssim]=categories:A; font:apertium;
escalonat escalonada [sup. escalonadíssim]=categories:A; font:apertium;
escandalós escandalosa [sup. escandalosíssim]=categories:A; font:apertium;
escarit escarida [sup. escaridíssim]=categories:A; font:apertium;
esfumat esfumada [sup. esfumadíssim]=categories:A; font:apertium;
esmaperdut esmaperduda [sup. esmaperdudíssim]=categories:A; font:apertium;
espaiós espaiosa [sup. espaiosíssim]=categories:A; font:apertium;
espantós espantosa [sup. espantosíssim]=categories:A; font:apertium;
espanyol espanyola [sup. espanyolíssim]=categories:A; font:apertium;
espaordit espaordida [sup. espaordidíssim]=categories:A; font:apertium;
espavilat espavilada [sup. espaviladíssim]=categories:A; font:apertium;
especialitzat especialitzada [sup. especialitzadíssim]=categories:A; font:apertium;
esplendorós esplendorosa [sup. esplendorosíssim]=categories:A; font:apertium;
estimat estimada [sup. estimadíssim]=categories:A; font:apertium;
estrany estranya [sup. estranyíssim]=categories:A; font:apertium;
estrepitós estrepitosa [sup. estrepitosíssim]=categories:A; font:apertium;
estret estreta [sup. estretíssim]=categories:A; font:apertium;
